Model,Feature,F1_Score,Accuracy,Precision,Recall,Train_Time_sec,Val_Time_sec,Total_Time_sec
LogReg,TFIDF,0.6289,0.638,0.64,0.638,16.2498,0.3027,16.5525
LogReg,Hashing,0.6262,0.6361,0.6348,0.6361,11.5403,0.2099,11.7503
LogReg,BoW,0.6237,0.6283,0.6261,0.6283,41.4216,0.2414,41.6629
SVM_OvR,TFIDF,0.6129,0.6189,0.6141,0.6189,5.7706,0.4615,6.2321
SVM_OvR,Hashing,0.6093,0.6183,0.6118,0.6183,5.3571,0.3091,5.6661
SVM_OvR,NGrams,0.6003,0.6131,0.631,0.6131,39.5465,1.9853,41.5318
XGBoost,Hashing,0.5995,0.6129,0.6177,0.6129,25.144,0.3423,25.4863
LogReg,NGrams,0.5937,0.6116,0.6353,0.6116,325.1472,1.2689,326.4161
SVM_OvR,BoW,0.587,0.5899,0.5872,0.5899,83.9925,0.4376,84.4301
XGBoost,LSA,0.5845,0.5974,0.5954,0.5974,14.7773,0.603,15.3804
XGBoost,Word2Vec,0.5824,0.5992,0.588,0.5992,39.3568,5.8446,45.2014
XGBoost,FastText,0.5824,0.5992,0.588,0.5992,43.7729,3.6943,47.4673
LogReg,LSA,0.5683,0.586,0.5856,0.586,13.4968,0.3652,13.862
XGBoost,Linguistic,0.561,0.5744,0.5808,0.5744,2.3581,0.1886,2.5467
SVM_OvR,LSA,0.5556,0.5808,0.5809,0.5808,17.3839,0.5356,17.9195
AdaBoost,NGrams,0.555,0.5682,0.5699,0.5682,205.2726,3.1244,208.397
AdaBoost,TFIDF,0.5509,0.5653,0.5663,0.5653,21.9564,0.6567,22.6131
AdaBoost,Linguistic,0.5488,0.5629,0.5661,0.5629,1.8708,0.1699,2.0407
AdaBoost,Hashing,0.5483,0.561,0.5617,0.561,11.8886,0.3467,12.2353
XGBoost,CustomW2V,0.5466,0.5635,0.5473,0.5635,31.3303,5.8558,37.1861
AdaBoost,BoW,0.5407,0.5611,0.5612,0.5611,12.0383,0.6172,12.6555
NaiveBayes,BoW,0.5293,0.5482,0.5786,0.5482,2.0875,0.439,2.5265
AdaBoost,LSA,0.5275,0.5479,0.5392,0.5479,54.7692,0.6343,55.4034
AdaBoost,FastText,0.5195,0.5403,0.5179,0.5403,156.5816,3.1712,159.7527
AdaBoost,Word2Vec,0.5195,0.5403,0.5179,0.5403,155.2919,3.0533,158.3452
kNN,LSA,0.5185,0.5249,0.52,0.5249,11.2697,21.8494,33.1192
kNN,Linguistic,0.5166,0.5262,0.5255,0.5262,0.6575,19.347,20.0045
NaiveBayes,Hashing,0.5136,0.5481,0.5812,0.5481,17.1664,1.8675,19.034
LogReg,FastText,0.513,0.5291,0.5255,0.5291,59.4376,3.361,62.7985
LogReg,Word2Vec,0.513,0.5291,0.5255,0.5291,57.7478,3.3584,61.1062
LogReg,Linguistic,0.5082,0.5337,0.5619,0.5337,2.3961,0.1084,2.5045
NaiveBayes,TFIDF,0.5082,0.5466,0.6203,0.5466,2.8324,0.395,3.2275
AdaBoost,CustomW2V,0.5064,0.5275,0.5096,0.5275,89.2207,4.4178,93.6384
SVM_OvR,Word2Vec,0.498,0.5262,0.522,0.5262,54.3961,5.4363,59.8324
SVM_OvR,FastText,0.498,0.5262,0.522,0.5262,49.4934,4.6214,54.1148
kNN,TFIDF,0.4977,0.5066,0.5226,0.5066,1.6377,25.0152,26.6529
kNN,CustomW2V,0.492,0.5064,0.5039,0.5064,25.9611,23.7173,49.6784
LogReg,CustomW2V,0.4807,0.5006,0.4973,0.5006,41.6146,4.7094,46.324
SVM_OvR,Linguistic,0.4789,0.5094,0.559,0.5094,1.4255,0.1895,1.615
NaiveBayes,NGrams,0.4739,0.5117,0.6225,0.5117,18.1543,2.1628,20.3171
SVM_OvR,CustomW2V,0.4646,0.4947,0.5063,0.4947,39.7548,5.233,44.9878
SentimentLDA,BoW,0.443,0.4806,0.4153,0.4806,133.8046,1.2863,135.0909
kNN,FastText,0.4399,0.4652,0.4884,0.4652,21.2756,19.314,40.5896
kNN,Word2Vec,0.4399,0.4652,0.4884,0.4652,20.7042,20.3852,41.0895
HMM,Linguistic,0.4111,0.4399,0.5469,0.4399,2.5795,12.1937,14.7732
HMM,CustomW2V,0.3892,0.3655,0.5051,0.3655,32.6007,17.7951,50.3958
XGBoost,BoW,0.3766,0.4299,0.3945,0.4299,7.3936,0.437,7.8306
HMM,Word2Vec,0.3042,0.2996,0.5065,0.2996,39.5093,17.2399,56.7492
HMM,FastText,0.2849,0.2567,0.5104,0.2567,49.419,22.0084,71.4274
HMM,LSA,0.2819,0.2759,0.4154,0.2759,16.0641,13.3347,29.3988
SentimentLDA,NGrams,0.2506,0.3278,0.2029,0.3278,86.0841,2.9379,89.022
XGBoost,NGrams,0.1562,0.3124,0.5849,0.3124,120.9395,2.3835,123.323
XGBoost,TFIDF,0.0099,0.0729,0.0053,0.0729,9.2309,0.4341,9.6649
